discipline_report_id,student_id,date,severity,type,action_taken
DR0066,325,2025-07-03,Minor,Fighting,Detention
DR0067,180,2024-05-07,Major,Fighting,Warning
DR0068,53,2023-09-17,Minor,Cheating,Warning
DR0069,89,2024-09-18,Major,Fighting,Suspension
DR0070,39,2024-03-01,Minor,Dress Code,Detention
DR0071,387,2025-04-22,Major,Dress Code,Suspension
DR0072,474,2024-11-17,Major,Cheating,Suspension
DR0073,162,2024-11-09,Minor,Dress Code,Warning
DR0074,241,2025-06-04,Moderate,Cheating,Detention
DR0075,303,2025-05-17,Minor,Cheating,Suspension
DR0076,38,2024-04-23,Moderate,Dress Code,Detention
DR0077,20,2024-10-08,Minor,Cheating,Detention
DR0078,40,2023-12-14,Major,Disruption,Suspension
DR0079,305,2025-01-15,Major,Dress Code,Detention
DR0080,298,2023-09-10,Major,Disruption,Detention
DR0081,466,2023-08-22,Major,Fighting,Detention
DR0082,310,2024-12-12,Moderate,Fighting,Warning
DR0083,231,2024-01-11,Minor,Cheating,Suspension
DR0084,44,2025-03-09,Major,Fighting,Warning
DR0085,127,2024-02-27,Major,Dress Code,Detention
DR0086,269,2023-09-17,Major,Fighting,Detention
DR0087,191,2025-05-12,Moderate,Dress Code,Detention
DR0088,397,2024-01-14,Moderate,Disruption,Suspension
DR0089,332,2025-05-21,Moderate,Disruption,Detention
DR0090,49,2023-10-04,Major,Dress Code,Detention
DR0091,130,2024-05-08,Major,Fighting,Detention
DR0092,42,2024-02-18,Major,Fighting,Detention
DR0093,159,2024-07-04,Major,Dress Code,Warning
DR0094,305,2024-11-22,Major,Disruption,Detention
DR0095,287,2025-04-25,Moderate,Cheating,Warning
DR0096,344,2024-04-26,Major,Disruption,Suspension
DR0097,344,2023-11-21,Moderate,Cheating,Warning
DR0098,186,2024-04-30,Moderate,Fighting,Warning
DR0099,175,2024-04-18,Moderate,Fighting,Warning
DR0100,71,2023-12-27,Minor,Disruption,Detention
DR0101,433,2024-12-19,Minor,Disruption,Suspension
DR0102,173,2024-02-10,Major,Fighting,Suspension
DR0103,193,2025-01-13,Minor,Fighting,Warning
DR0104,426,2025-07-14,Major,Fighting,Suspension
DR0105,225,2024-12-29,Minor,Dress Code,Detention
DR0106,347,2024-12-02,Major,Fighting,Detention
DR0107,313,2023-09-11,Moderate,Dress Code,Warning
DR0108,274,2024-11-02,Minor,Cheating,Detention
DR0109,463,2024-11-22,Minor,Cheating,Suspension
DR0110,485,2023-11-27,Major,Dress Code,Detention
DR0111,394,2024-09-04,Moderate,Dress Code,Suspension
DR0112,271,2025-02-03,Moderate,Fighting,Warning
DR0113,411,2024-01-24,Major,Fighting,Detention
DR0114,27,2023-11-21,Major,Dress Code,Detention
DR0115,284,2024-07-11,Minor,Disruption,Detention
DR0116,43,2024-05-07,Minor,Cheating,Detention
DR0117,464,2024-02-12,Major,Fighting,Detention
DR0118,47,2025-07-05,Minor,Dress Code,Detention
DR0119,477,2024-11-26,Minor,Dress Code,Warning
DR0120,203,2025-01-02,Major,Cheating,Warning
DR0121,198,2024-09-22,Minor,Cheating,Warning
DR0122,15,2024-01-04,Moderate,Disruption,Suspension
DR0123,333,2024-12-30,Moderate,Fighting,Warning
DR0124,20,2024-03-25,Moderate,Dress Code,Suspension
DR0125,426,2025-05-02,Minor,Dress Code,Detention
DR0126,316,2025-03-05,Minor,Disruption,Warning
DR0127,132,2025-03-11,Minor,Fighting,Suspension
DR0128,482,2023-08-30,Major,Dress Code,Warning
DR0129,398,2024-01-11,Moderate,Fighting,Detention
DR0130,63,2025-04-16,Minor,Fighting,Detention
DR0131,328,2023-08-11,Major,Dress Code,Warning
DR0132,57,2025-04-03,Moderate,Disruption,Suspension
DR0133,264,2024-03-19,Major,Fighting,Suspension
DR0134,74,2024-05-24,Moderate,Dress Code,Warning
DR0135,315,2024-02-10,Moderate,Fighting,Suspension
DR0136,214,2023-09-07,Minor,Disruption,Suspension
DR0137,500,2023-12-28,Moderate,Disruption,Suspension
DR0138,279,2025-06-26,Major,Disruption,Detention
DR0139,448,2024-09-30,Moderate,Disruption,Suspension
DR0140,199,2025-05-28,Moderate,Cheating,Suspension
DR0141,9,2025-01-25,Moderate,Disruption,Detention
DR0142,124,2024-03-18,Major,Disruption,Suspension
DR0143,377,2023-12-30,Moderate,Fighting,Warning
DR0144,181,2024-12-08,Major,Cheating,Suspension
DR0145,90,2024-08-08,Major,Dress Code,Suspension
DR0146,246,2024-05-20,Major,Fighting,Warning
DR0147,33,2025-06-04,Major,Dress Code,Warning
DR0148,151,2025-06-27,Minor,Disruption,Warning
DR0149,454,2024-11-28,Minor,Cheating,Detention
DR0150,264,2024-07-08,Moderate,Dress Code,Detention
DR0151,19,2023-11-05,Major,Fighting,Detention
DR0152,183,2024-02-08,Minor,Cheating,Detention
DR0153,64,2023-11-03,Moderate,Dress Code,Detention
DR0154,381,2024-01-25,Moderate,Dress Code,Detention
DR0155,499,2025-02-15,Minor,Dress Code,Suspension
DR0156,255,2024-09-26,Moderate,Cheating,Warning
DR0157,373,2024-09-08,Moderate,Disruption,Detention
DR0158,309,2024-02-07,Minor,Cheating,Detention
DR0159,53,2025-02-17,Minor,Cheating,Suspension
DR0160,152,2024-10-14,Moderate,Dress Code,Suspension
DR0161,368,2024-06-14,Moderate,Fighting,Suspension
DR0162,228,2025-06-14,Moderate,Dress Code,Warning
DR0163,373,2024-10-13,Moderate,Dress Code,Detention
DR0164,328,2024-05-23,Minor,Disruption,Suspension
DR0165,327,2024-04-24,Moderate,Cheating,Suspension
DR0166,411,2024-01-04,Major,Fighting,Warning
DR0167,74,2023-11-02,Major,Dress Code,Warning
DR0168,65,2024-08-16,Minor,Fighting,Suspension
DR0169,188,2024-08-04,Moderate,Dress Code,Suspension
DR0170,17,2023-09-26,Major,Fighting,Suspension
DR0171,231,2025-02-24,Moderate,Cheating,Detention
DR0172,391,2023-08-23,Minor,Fighting,Suspension
DR0173,188,2025-05-16,Moderate,Cheating,Suspension
DR0174,143,2023-10-11,Minor,Disruption,Warning
DR0175,377,2023-11-13,Minor,Dress Code,Suspension
DR0176,199,2024-11-16,Major,Disruption,Detention
DR0177,397,2023-11-19,Moderate,Dress Code,Warning
DR0178,314,2025-03-24,Moderate,Dress Code,Warning
DR0179,63,2024-12-27,Minor,Disruption,Detention
DR0180,89,2024-06-09,Major,Dress Code,Warning
DR0181,415,2024-10-23,Major,Cheating,Suspension
DR0182,178,2023-09-05,Major,Disruption,Suspension
DR0183,278,2024-05-11,Moderate,Cheating,Warning
DR0184,365,2024-05-09,Major,Fighting,Detention
DR0185,261,2024-10-22,Minor,Disruption,Warning
DR0186,406,2024-07-15,Minor,Fighting,Detention
DR0187,14,2024-08-31,Moderate,Cheating,Detention
DR0188,412,2024-01-29,Major,Fighting,Suspension
DR0189,453,2024-09-19,Minor,Disruption,Detention
DR0190,204,2025-05-16,Major,Dress Code,Suspension
DR0191,211,2023-07-26,Moderate,Disruption,Warning
DR0192,498,2024-12-27,Moderate,Disruption,Detention
DR0193,239,2025-01-27,Major,Cheating,Warning
DR0194,450,2023-10-14,Major,Fighting,Warning
DR0195,222,2024-12-28,Major,Disruption,Warning
DR0196,266,2025-06-04,Minor,Cheating,Warning
DR0197,83,2024-09-07,Moderate,Fighting,Detention
DR0198,486,2025-02-20,Major,Cheating,Warning
DR0199,129,2024-02-10,Minor,Cheating,Warning
DR0200,321,2025-03-05,Moderate,Disruption,Suspension
