class_id,name,grade_level_id,teacher_id,classroom_id,period_id,term_id,school_year_id,created_at,updated_at
67,Reading Grade 2,2,6,5,33,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
68,Reading Grade 2,2,6,5,33,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
69,Science Grade 2,2,6,5,44,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
70,Science Grade 2,2,6,5,44,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
71,Science Grade 2,2,6,5,44,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
72,Science Grade 2,2,6,5,44,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
73,Social Studies Grade 2,2,6,5,55,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
74,Social Studies Grade 2,2,6,5,55,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
75,Social Studies Grade 2,2,6,5,55,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
76,Social Studies Grade 2,2,6,5,55,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
77,Recess Grade 2,2,6,5,30,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
78,Recess Grade 2,2,6,5,30,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
79,Recess Grade 2,2,6,5,30,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
80,Recess Grade 2,2,6,5,30,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
81,Nap Grade 2,2,6,5,40,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
82,Nap Grade 2,2,6,5,40,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
83,Nap Grade 2,2,6,5,40,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
84,Nap Grade 2,2,6,5,40,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
85,Homeroom Grade 3,3,7,1,11,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
86,Homeroom Grade 3,3,7,1,11,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
87,Homeroom Grade 3,3,7,1,11,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
88,Homeroom Grade 3,3,7,1,11,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
89,Math Grade 3,3,7,1,22,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
90,Math Grade 3,3,7,1,22,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
91,Math Grade 3,3,7,1,22,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
92,Math Grade 3,3,7,1,22,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
93,Reading Grade 3,3,7,1,33,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
94,Reading Grade 3,3,7,1,33,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
95,Reading Grade 3,3,7,1,33,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
96,Reading Grade 3,3,7,1,33,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
97,Science Grade 3,3,7,1,44,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
98,Science Grade 3,3,7,1,44,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
99,Science Grade 3,3,7,1,44,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
100,Science Grade 3,3,7,1,44,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
101,Social Studies Grade 3,3,7,1,55,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
102,Social Studies Grade 3,3,7,1,55,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
103,Social Studies Grade 3,3,7,1,55,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
104,Social Studies Grade 3,3,7,1,55,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
105,Recess Grade 3,3,7,1,30,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
106,Recess Grade 3,3,7,1,30,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
107,Recess Grade 3,3,7,1,30,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
108,Recess Grade 3,3,7,1,30,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
109,Study Hall Grade 3,3,7,1,50,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
110,Study Hall Grade 3,3,7,1,50,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
111,Study Hall Grade 3,3,7,1,50,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
112,Study Hall Grade 3,3,7,1,50,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
113,Homeroom Grade 4,4,10,7,11,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
114,Homeroom Grade 4,4,10,7,11,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
115,Homeroom Grade 4,4,10,7,11,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
116,Homeroom Grade 4,4,10,7,11,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
117,Math Grade 4,4,10,7,22,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
118,Math Grade 4,4,10,7,22,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
119,Math Grade 4,4,10,7,22,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
120,Math Grade 4,4,10,7,22,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
121,Reading Grade 4,4,10,7,33,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
122,Reading Grade 4,4,10,7,33,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
123,Reading Grade 4,4,10,7,33,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
124,Reading Grade 4,4,10,7,33,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
125,Science Grade 4,4,10,7,44,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
126,Science Grade 4,4,10,7,44,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
127,Science Grade 4,4,10,7,44,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
128,Science Grade 4,4,10,7,44,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
129,Social Studies Grade 4,4,10,7,55,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
130,Social Studies Grade 4,4,10,7,55,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
131,Social Studies Grade 4,4,10,7,55,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
132,Social Studies Grade 4,4,10,7,55,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
133,Recess Grade 4,4,10,7,30,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
134,Recess Grade 4,4,10,7,30,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
135,Recess Grade 4,4,10,7,30,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
136,Recess Grade 4,4,10,7,30,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
137,Study Hall Grade 4,4,10,7,50,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
138,Study Hall Grade 4,4,10,7,50,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
139,Study Hall Grade 4,4,10,7,50,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
140,Study Hall Grade 4,4,10,7,50,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
141,Math Grade 5,5,9,9,1,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
142,Math Grade 5,5,9,9,1,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
143,Math Grade 5,5,9,9,1,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
144,Math Grade 5,5,9,9,1,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
145,ELA Grade 5,5,3,13,2,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
146,ELA Grade 5,5,3,13,2,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
147,ELA Grade 5,5,3,13,2,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
148,ELA Grade 5,5,3,13,2,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
149,Science Grade 5,5,17,9,7,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
150,Science Grade 5,5,17,9,7,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
151,Science Grade 5,5,17,9,7,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
152,Science Grade 5,5,17,9,7,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
153,Social Studies Grade 5,5,5,13,4,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
154,Social Studies Grade 5,5,5,13,4,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
155,Social Studies Grade 5,5,5,13,4,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
156,Social Studies Grade 5,5,5,13,4,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
157,Art Grade 5,5,5,9,5,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
158,Art Grade 5,5,5,9,5,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
159,Art Grade 5,5,5,9,5,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
160,Art Grade 5,5,5,9,5,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
161,PE Grade 5,5,2,13,6,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
162,PE Grade 5,5,2,13,6,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
163,PE Grade 5,5,2,13,6,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
164,PE Grade 5,5,2,13,6,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
165,Technology Grade 5,5,15,9,7,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
166,Technology Grade 5,5,15,9,7,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
167,Technology Grade 5,5,15,9,7,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
168,Technology Grade 5,5,15,9,7,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
169,Math Grade 6,6,13,13,1,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
170,Math Grade 6,6,13,13,1,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
171,Math Grade 6,6,13,13,1,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
172,Math Grade 6,6,13,13,1,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
173,ELA Grade 6,6,9,9,2,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
174,ELA Grade 6,6,9,9,2,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
175,ELA Grade 6,6,9,9,2,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
176,ELA Grade 6,6,9,9,2,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
177,Science Grade 6,6,17,13,6,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
178,Science Grade 6,6,17,13,6,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
179,Science Grade 6,6,17,13,6,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
180,Science Grade 6,6,17,13,6,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
181,Social Studies Grade 6,6,19,9,6,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
182,Social Studies Grade 6,6,19,9,6,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
183,Social Studies Grade 6,6,19,9,6,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
184,Social Studies Grade 6,6,19,9,6,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
185,Art Grade 6,6,5,13,7,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
186,Art Grade 6,6,5,13,7,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
187,Art Grade 6,6,5,13,7,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
188,Art Grade 6,6,5,13,7,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
189,PE Grade 6,6,2,9,4,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
190,PE Grade 6,6,2,9,4,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
191,PE Grade 6,6,2,9,4,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
192,PE Grade 6,6,2,9,4,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
193,Technology Grade 6,6,15,13,2,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
194,Technology Grade 6,6,15,13,2,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
195,Technology Grade 6,6,15,13,2,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
196,Technology Grade 6,6,15,13,2,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
197,Math Grade 7,7,9,9,5,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
198,Math Grade 7,7,9,9,5,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
199,Math Grade 7,7,9,9,5,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
200,Math Grade 7,7,9,9,5,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
201,ELA Grade 7,7,13,13,2,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
202,ELA Grade 7,7,13,13,2,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
203,ELA Grade 7,7,13,13,2,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
204,ELA Grade 7,7,13,13,2,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
205,Science Grade 7,7,17,9,4,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
206,Science Grade 7,7,17,9,4,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
207,Science Grade 7,7,17,9,4,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
208,Science Grade 7,7,17,9,4,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
209,Social Studies Grade 7,7,5,13,3,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
210,Social Studies Grade 7,7,5,13,3,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
211,Social Studies Grade 7,7,5,13,3,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
212,Social Studies Grade 7,7,5,13,3,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
213,Art Grade 7,7,5,9,6,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
214,Art Grade 7,7,5,9,6,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
215,Art Grade 7,7,5,9,6,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
216,Art Grade 7,7,5,9,6,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
217,PE Grade 7,7,2,13,7,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
218,PE Grade 7,7,2,13,7,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
219,PE Grade 7,7,2,13,7,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
220,PE Grade 7,7,2,13,7,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
221,Technology Grade 7,7,15,9,4,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
222,Technology Grade 7,7,15,9,4,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
223,Technology Grade 7,7,15,9,4,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
224,Technology Grade 7,7,15,9,4,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
225,Math Grade 8,8,9,13,7,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
226,Math Grade 8,8,9,13,7,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
227,Math Grade 8,8,9,13,7,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
228,Math Grade 8,8,9,13,7,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
229,ELA Grade 8,8,17,9,2,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
230,ELA Grade 8,8,17,9,2,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
231,ELA Grade 8,8,17,9,2,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
232,ELA Grade 8,8,17,9,2,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
233,Science Grade 8,8,17,13,5,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
234,Science Grade 8,8,17,13,5,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
235,Science Grade 8,8,17,13,5,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
236,Science Grade 8,8,17,13,5,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
237,Social Studies Grade 8,8,19,9,3,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
238,Social Studies Grade 8,8,19,9,3,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
239,Social Studies Grade 8,8,19,9,3,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
240,Social Studies Grade 8,8,19,9,3,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
241,Art Grade 8,8,2,13,5,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
242,Art Grade 8,8,2,13,5,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
243,Art Grade 8,8,2,13,5,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
244,Art Grade 8,8,2,13,5,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
245,PE Grade 8,8,2,9,1,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
246,PE Grade 8,8,2,9,1,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
247,PE Grade 8,8,2,9,1,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
248,PE Grade 8,8,2,9,1,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
249,Technology Grade 8,8,15,13,5,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
250,Technology Grade 8,8,15,13,5,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
251,Technology Grade 8,8,15,13,5,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
252,Technology Grade 8,8,15,13,5,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
253,Algebra I Grade 9,9,3,21,1,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
254,Algebra I Grade 9,9,3,21,1,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
255,Algebra I Grade 9,9,3,21,1,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
256,Algebra I Grade 9,9,3,21,1,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
257,Biology Grade 9,9,20,23,7,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
258,Biology Grade 9,9,20,23,7,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
259,Biology Grade 9,9,20,23,7,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
260,Biology Grade 9,9,20,23,7,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
261,English Grade 9,9,13,17,3,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
262,English Grade 9,9,13,17,3,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
263,English Grade 9,9,13,17,3,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
264,English Grade 9,9,13,17,3,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
265,Geography Grade 9,9,12,19,4,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
266,Geography Grade 9,9,12,19,4,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
267,Geography Grade 9,9,12,19,4,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
268,Geography Grade 9,9,12,19,4,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
269,PE Grade 9,9,3,22,5,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
270,PE Grade 9,9,3,22,5,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
271,PE Grade 9,9,3,22,5,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
272,PE Grade 9,9,3,22,5,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
273,Spanish I Grade 9,9,8,21,6,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
274,Spanish I Grade 9,9,8,21,6,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
275,Spanish I Grade 9,9,8,21,6,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
276,Spanish I Grade 9,9,8,21,6,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
277,Computer Science Grade 9,9,3,23,7,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
278,Computer Science Grade 9,9,3,23,7,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
279,Computer Science Grade 9,9,3,23,7,3,1,2025-07-28 19:33:05,2025-07-28 19:33:05
280,Computer Science Grade 9,9,3,23,7,4,1,2025-07-28 19:33:05,2025-07-28 19:33:05
281,Geometry Grade 10,10,8,17,1,1,1,2025-07-28 19:33:05,2025-07-28 19:33:05
282,Geometry Grade 10,10,8,17,1,2,1,2025-07-28 19:33:05,2025-07-28 19:33:05
