student_id,guardian_id,guardian_type_id,family_id
95,46,7,FAM31
96,47,1,FAM32
97,47,1,FAM32
99,48,1,FAM33
99,49,2,FAM33
100,49,2,FAM33
101,49,2,FAM33
102,50,1,FAM34
102,51,2,FAM34
103,51,2,FAM34
104,51,2,FAM34
105,52,7,FAM35
106,52,7,FAM35
107,52,7,FAM35
108,53,1,FAM36
108,54,2,FAM36
109,54,2,FAM36
110,54,2,FAM36
111,55,9,FAM37
112,55,9,FAM37
113,55,9,FAM37
114,56,1,FAM38
114,57,2,FAM38
115,57,2,FAM38
116,57,2,FAM38
117,58,7,FAM39
118,58,7,FAM39
119,58,7,FAM39
120,59,2,FAM40
121,59,2,FAM40
122,59,2,FAM40
123,60,1,FAM41
123,61,2,FAM41
124,61,2,FAM41
125,61,2,FAM41
126,62,1,FAM42
127,62,1,FAM42
128,62,1,FAM42
130,63,1,FAM43
131,63,1,FAM43
132,64,1,FAM44
132,65,2,FAM44
133,65,2,FAM44
134,65,2,FAM44
135,66,1,FAM45
135,67,2,FAM45
136,67,2,FAM45
137,67,2,FAM45
138,68,5,FAM46
139,68,5,FAM46
140,68,5,FAM46
141,69,1,FAM47
142,69,1,FAM47
143,69,1,FAM47
144,70,10,FAM48
145,70,10,FAM48
146,70,10,FAM48
147,71,6,FAM49
148,71,6,FAM49
149,71,6,FAM49
150,72,1,FAM50
150,73,2,FAM50
151,73,2,FAM50
153,74,7,FAM51
154,74,7,FAM51
155,74,7,FAM51
156,75,1,FAM52
157,75,1,FAM52
158,75,1,FAM52
159,76,1,FAM53
160,76,1,FAM53
161,76,1,FAM53
163,77,1,FAM54
164,77,1,FAM54
165,78,1,FAM55
166,78,1,FAM55
167,78,1,FAM55
168,79,1,FAM56
168,80,2,FAM56
169,80,2,FAM56
171,81,8,FAM57
172,81,8,FAM57
173,81,8,FAM57
174,82,6,FAM58
175,82,6,FAM58
176,82,6,FAM58
177,83,1,FAM59
177,84,2,FAM59
178,84,2,FAM59
179,84,2,FAM59
180,85,1,FAM60
180,86,2,FAM60
181,86,2,FAM60
182,86,2,FAM60
183,87,1,FAM61
183,88,2,FAM61
184,88,2,FAM61
185,88,2,FAM61
186,89,1,FAM62
187,89,1,FAM62
188,89,1,FAM62
189,90,1,FAM63
189,91,2,FAM63
190,91,2,FAM63
191,91,2,FAM63
192,92,1,FAM64
192,93,2,FAM64
193,93,2,FAM64
194,93,2,FAM64
195,94,10,FAM65
196,94,10,FAM65
197,94,10,FAM65
198,95,1,FAM66
198,96,2,FAM66
199,96,2,FAM66
201,97,1,FAM67
202,97,1,FAM67
203,97,1,FAM67
204,98,1,FAM68
205,98,1,FAM68
206,98,1,FAM68
207,99,10,FAM69
208,99,10,FAM69
209,99,10,FAM69
210,100,1,FAM70
211,100,1,FAM70
212,100,1,FAM70
213,101,1,FAM71
213,102,2,FAM71
214,102,2,FAM71
215,102,2,FAM71
216,103,9,FAM72
217,103,9,FAM72
218,103,9,FAM72
219,104,5,FAM73
220,104,5,FAM73
221,104,5,FAM73
222,105,1,FAM74
223,105,1,FAM74
224,105,1,FAM74
225,106,1,FAM75
226,106,1,FAM75
227,106,1,FAM75
228,107,1,FAM76
228,108,2,FAM76
229,108,2,FAM76
230,108,2,FAM76
231,109,1,FAM77
233,109,1,FAM77
234,110,5,FAM78
235,110,5,FAM78
236,110,5,FAM78
237,111,6,FAM79
238,111,6,FAM79
239,111,6,FAM79
240,112,2,FAM80
241,112,2,FAM80
242,112,2,FAM80
243,113,1,FAM81
243,114,2,FAM81
244,114,2,FAM81
245,114,2,FAM81
246,115,1,FAM82
247,115,1,FAM82
248,115,1,FAM82
249,116,1,FAM83
250,116,1,FAM83
251,116,1,FAM83
252,117,9,FAM84
253,117,9,FAM84
254,117,9,FAM84
255,118,2,FAM85
256,118,2,FAM85
257,118,2,FAM85
258,119,9,FAM86
259,119,9,FAM86
260,119,9,FAM86
262,120,9,FAM87
263,120,9,FAM87
264,121,1,FAM88
265,121,1,FAM88
266,121,1,FAM88
267,122,1,FAM89
267,123,2,FAM89
268,123,2,FAM89
269,123,2,FAM89
270,124,8,FAM90
271,124,8,FAM90
272,124,8,FAM90
273,125,1,FAM91
273,126,2,FAM91
274,126,2,FAM91
275,126,2,FAM91
276,127,1,FAM92
277,127,1,FAM92
278,127,1,FAM92
279,128,1,FAM93
280,128,1,FAM93
281,128,1,FAM93
282,129,1,FAM94
282,130,2,FAM94
283,130,2,FAM94
284,130,2,FAM94
285,131,1,FAM95
285,132,2,FAM95
286,132,2,FAM95
287,132,2,FAM95
288,133,1,FAM96
288,134,2,FAM96
289,134,2,FAM96
290,134,2,FAM96
291,135,1,FAM97
291,136,2,FAM97
292,136,2,FAM97
293,136,2,FAM97
294,137,10,FAM98
295,137,10,FAM98
296,137,10,FAM98
297,138,1,FAM99
297,139,2,FAM99
298,139,2,FAM99
299,139,2,FAM99
300,140,1,FAM100
300,141,2,FAM100
301,141,2,FAM100
302,141,2,FAM100
303,142,1,FAM101
304,142,1,FAM101
305,142,1,FAM101
306,143,1,FAM102
307,143,1,FAM102
308,143,1,FAM102
309,144,5,FAM103
310,144,5,FAM103
311,144,5,FAM103
312,145,9,FAM104
313,145,9,FAM104
314,145,9,FAM104
315,146,1,FAM105
315,147,2,FAM105
316,147,2,FAM105
317,147,2,FAM105
318,148,1,FAM106
319,148,1,FAM106
320,148,1,FAM106
321,149,8,FAM107
322,149,8,FAM107
323,149,8,FAM107
324,150,1,FAM108
325,150,1,FAM108
326,150,1,FAM108
327,151,6,FAM109
328,151,6,FAM109
329,151,6,FAM109
330,152,1,FAM110
330,153,2,FAM110
331,153,2,FAM110
332,153,2,FAM110
333,154,1,FAM111
333,155,2,FAM111
334,155,2,FAM111
335,155,2,FAM111
336,156,8,FAM112
337,156,8,FAM112
338,156,8,FAM112
339,157,8,FAM113
340,157,8,FAM113
341,157,8,FAM113
342,158,9,FAM114
343,158,9,FAM114
344,158,9,FAM114
345,159,1,FAM115
346,159,1,FAM115
347,159,1,FAM115
348,160,1,FAM116
349,160,1,FAM116
350,160,1,FAM116
351,161,1,FAM117
351,162,2,FAM117
352,162,2,FAM117
353,162,2,FAM117
354,163,6,FAM118
355,163,6,FAM118
356,163,6,FAM118
357,164,1,FAM119
357,165,2,FAM119
358,165,2,FAM119
359,165,2,FAM119
360,166,1,FAM120
360,167,2,FAM120
361,167,2,FAM120
362,167,2,FAM120
363,168,8,FAM121
364,168,8,FAM121
365,168,8,FAM121
366,169,2,FAM122
367,169,2,FAM122
368,169,2,FAM122
369,170,1,FAM123
370,170,1,FAM123
371,170,1,FAM123
372,171,1,FAM124
373,171,1,FAM124
374,171,1,FAM124
375,172,2,FAM125
376,172,2,FAM125
377,172,2,FAM125
378,173,1,FAM126
378,174,2,FAM126
379,174,2,FAM126
380,174,2,FAM126
381,175,5,FAM127
382,175,5,FAM127
383,175,5,FAM127
384,176,6,FAM128
385,176,6,FAM128
386,176,6,FAM128
387,177,1,FAM129
387,178,2,FAM129
388,178,2,FAM129
389,178,2,FAM129
390,179,1,FAM130
390,180,2,FAM130
391,180,2,FAM130
392,180,2,FAM130
393,181,9,FAM131
394,181,9,FAM131
395,181,9,FAM131
396,182,8,FAM132
397,182,8,FAM132
398,182,8,FAM132
399,183,7,FAM133
400,183,7,FAM133
401,183,7,FAM133
402,184,1,FAM134
403,184,1,FAM134
404,184,1,FAM134
405,185,5,FAM135
406,185,5,FAM135
407,185,5,FAM135
408,186,6,FAM136
409,186,6,FAM136
410,186,6,FAM136
411,187,5,FAM137
412,187,5,FAM137
413,187,5,FAM137
414,188,1,FAM138
415,188,1,FAM138
417,189,1,FAM139
418,189,1,FAM139
419,189,1,FAM139
420,190,1,FAM140
421,190,1,FAM140
422,190,1,FAM140
423,191,1,FAM141
423,192,2,FAM141
424,192,2,FAM141
425,192,2,FAM141
426,193,6,FAM142
427,193,6,FAM142
428,193,6,FAM142
429,194,1,FAM143
430,194,1,FAM143
431,194,1,FAM143
432,195,9,FAM144
433,195,9,FAM144
434,195,9,FAM144
435,196,9,FAM145
437,196,9,FAM145
438,197,7,FAM146
439,197,7,FAM146
440,197,7,FAM146
441,198,1,FAM147
442,198,1,FAM147
443,198,1,FAM147
444,199,1,FAM148
445,199,1,FAM148
446,199,1,FAM148
447,200,1,FAM149
447,201,2,FAM149
448,201,2,FAM149
449,201,2,FAM149
450,202,1,FAM150
450,203,2,FAM150
451,203,2,FAM150
452,203,2,FAM150
453,204,1,FAM151
454,204,1,FAM151
455,204,1,FAM151
456,205,1,FAM152
456,206,2,FAM152
457,206,2,FAM152
458,206,2,FAM152
459,207,1,FAM153
459,208,2,FAM153
460,208,2,FAM153
461,208,2,FAM153
462,209,9,FAM154
501,116,1,FAM83
502,210,9,FAM167
503,114,2,FAM81
504,211,8,FAM168
505,211,8,FAM168
506,211,8,FAM168
507,212,1,FAM169
508,212,1,FAM169
509,57,2,FAM38
510,213,1,FAM170
511,213,1,FAM170
512,150,1,FAM108
513,214,5,FAM171
514,214,5,FAM171
515,214,5,FAM171
516,215,1,FAM172
516,216,2,FAM172
517,216,2,FAM172
518,216,2,FAM172
519,217,9,FAM173
520,156,8,FAM112
521,217,9,FAM173
522,218,1,FAM174
522,219,2,FAM174
523,219,2,FAM174
524,171,1,FAM124
525,220,1,FAM175
526,220,1,FAM175
527,220,1,FAM175
528,221,1,FAM176
528,222,2,FAM176
529,222,2,FAM176
533,116,1,FAM83
534,224,1,FAM178
534,225,2,FAM178
536,225,2,FAM178
537,226,9,FAM179
538,226,9,FAM179
539,73,2,FAM50
540,227,1,FAM180
541,227,1,FAM180
542,114,2,FAM81
546,3,2,FAM182
549,5,2,FAM183
589,228,9,FAM196
590,228,9,FAM196
591,229,1,FAM197
591,230,2,FAM197
592,230,2,FAM197
593,230,2,FAM197
594,231,1,FAM198
594,232,2,FAM198
595,232,2,FAM198
596,232,2,FAM198
1,7,2,FAM0
6,10,2,FAM2
12,13,2,FAM4
15,15,2,FAM5
31,21,2,FAM10
39,25,2,FAM13
43,27,2,FAM14
87,43,2,FAM29
90,45,2,FAM30
99,49,2,FAM33
102,51,2,FAM34
108,54,2,FAM36
114,57,2,FAM38
123,61,2,FAM41
132,65,2,FAM44
150,73,2,FAM50
168,80,2,FAM56
177,84,2,FAM59
180,86,2,FAM60
183,88,2,FAM61
192,93,2,FAM64
198,96,2,FAM66
213,102,2,FAM71
228,108,2,FAM76
243,114,2,FAM81
267,123,2,FAM89
273,126,2,FAM91
282,130,2,FAM94
288,134,2,FAM96
291,136,2,FAM97
297,139,2,FAM99
300,141,2,FAM100
315,147,2,FAM105
330,153,2,FAM110
333,155,2,FAM111
351,162,2,FAM117
357,165,2,FAM119
360,167,2,FAM120
378,174,2,FAM126
387,178,2,FAM129
390,180,2,FAM130
423,192,2,FAM141
516,216,2,FAM172
522,219,2,FAM174
528,222,2,FAM176
534,225,2,FAM178
550,5,2,FAM183
551,5,2,FAM183
552,233,6,FAM184
553,233,6,FAM184
554,233,6,FAM184
555,234,6,FAM185
556,234,6,FAM185
557,234,6,FAM185
558,235,1,FAM186
559,159,1,FAM115
560,235,1,FAM186
561,236,2,FAM187
562,115,1,FAM82
563,57,2,FAM38
564,237,6,FAM188
565,237,6,FAM188
566,237,6,FAM188
567,238,2,FAM189
568,31,1,FAM18
569,238,2,FAM189
570,239,6,FAM190
571,239,6,FAM190
572,239,6,FAM190
573,240,6,FAM191
574,240,6,FAM191
575,240,6,FAM191
576,241,1,FAM192
577,71,6,FAM49
579,242,8,FAM193
580,242,8,FAM193
581,242,8,FAM193
582,243,8,FAM194
583,240,6,FAM191
584,243,8,FAM194
586,244,1,FAM195
587,244,1,FAM195
588,105,1,FAM74
591,230,2,FAM197
594,232,2,FAM198
641,245,1,FAM213
641,246,2,FAM213
642,247,1,FAM214
642,248,2,FAM214
643,248,2,FAM214
644,248,2,FAM214
645,249,6,FAM215
646,249,6,FAM215
598,144,5,FAM103
600,251,1,FAM200
600,252,2,FAM200
601,252,2,FAM200
602,252,2,FAM200
604,253,1,FAM201
605,253,1,FAM201
606,254,1,FAM202
606,255,2,FAM202
607,255,2,FAM202
608,163,6,FAM118
609,256,7,FAM203
610,256,7,FAM203
611,256,7,FAM203
612,81,8,FAM57
613,257,8,FAM204
614,257,8,FAM204
615,258,1,FAM205
615,259,2,FAM205
616,259,2,FAM205
617,259,2,FAM205
618,260,1,FAM206
618,261,2,FAM206
619,261,2,FAM206
620,261,2,FAM206
622,262,1,FAM207
623,262,1,FAM207
624,49,2,FAM33
625,263,1,FAM208
625,264,2,FAM208
626,264,2,FAM208
627,16,10,FAM6
628,160,1,FAM116
629,149,8,FAM107
630,33,10,FAM20
631,89,1,FAM62
632,265,10,FAM210
633,266,1,FAM211
634,132,2,FAM95
635,266,1,FAM211
637,267,10,FAM212
638,267,10,FAM212
639,246,2,FAM213
640,257,8,FAM204
641,246,2,FAM213
642,248,2,FAM214
695,268,1,FAM231
696,269,1,FAM232
697,269,1,FAM232
698,269,1,FAM232
600,252,2,FAM200
606,255,2,FAM202
615,259,2,FAM205
618,261,2,FAM206
625,264,2,FAM208
647,249,6,FAM215
648,270,1,FAM216
649,270,1,FAM216
650,270,1,FAM216
651,29,6,FAM16
652,271,6,FAM217
653,271,6,FAM217
654,272,1,FAM218
654,273,2,FAM218
655,273,2,FAM218
656,273,2,FAM218
657,274,1,FAM219
657,275,2,FAM219
658,147,2,FAM105
659,23,1,FAM12
660,276,1,FAM220
661,276,1,FAM220
662,276,1,FAM220
663,277,1,FAM221
663,278,2,FAM221
664,278,2,FAM221
665,253,1,FAM201
666,279,6,FAM222
667,279,6,FAM222
668,279,6,FAM222
669,280,1,FAM223
670,280,1,FAM223
671,280,1,FAM223
672,261,2,FAM206
673,281,1,FAM224
674,281,1,FAM224
675,282,1,FAM225
676,282,1,FAM225
677,282,1,FAM225
678,283,10,FAM226
679,283,10,FAM226
680,283,10,FAM226
681,234,6,FAM185
682,284,1,FAM227
682,285,2,FAM227
683,285,2,FAM227
684,271,6,FAM217
685,286,1,FAM228
685,287,2,FAM228
686,287,2,FAM228
687,288,1,FAM229
687,289,2,FAM229
688,237,6,FAM188
689,289,2,FAM229
690,290,1,FAM230
691,88,2,FAM61
692,290,1,FAM230
693,261,2,FAM206
694,268,1,FAM231
734,291,1,FAM244
734,292,2,FAM244
735,293,1,FAM245
736,293,1,FAM245
737,293,1,FAM245
738,294,8,FAM246
739,294,8,FAM246
740,294,8,FAM246
654,273,2,FAM218
657,275,2,FAM219
663,278,2,FAM221
685,287,2,FAM228
687,289,2,FAM229
699,295,1,FAM233
700,295,1,FAM233
701,295,1,FAM233
702,296,8,FAM234
703,296,8,FAM234
704,296,8,FAM234
705,141,2,FAM100
706,297,1,FAM235
707,297,1,FAM235
708,298,1,FAM236
708,299,2,FAM236
709,299,2,FAM236
710,299,2,FAM236
711,300,1,FAM237
711,301,2,FAM237
712,301,2,FAM237
713,112,2,FAM80
714,58,7,FAM39
715,302,1,FAM238
716,116,1,FAM83
717,303,1,FAM239
718,303,1,FAM239
719,171,1,FAM124
720,304,7,FAM240
721,51,2,FAM34
722,304,7,FAM240
723,126,2,FAM91
724,305,1,FAM241
724,306,2,FAM241
725,114,2,FAM81
726,307,5,FAM242
727,307,5,FAM242
728,307,5,FAM242
729,308,5,FAM243
730,308,5,FAM243
731,308,5,FAM243
732,264,2,FAM208
733,301,2,FAM237
734,292,2,FAM244
793,309,5,FAM264
794,309,5,FAM264
795,310,8,FAM265
796,310,8,FAM265
797,310,8,FAM265
798,311,7,FAM266
708,299,2,FAM236
711,301,2,FAM237
724,306,2,FAM241
741,312,1,FAM247
741,313,2,FAM247
743,67,2,FAM45
744,314,6,FAM248
745,31,1,FAM18
746,314,6,FAM248
747,315,1,FAM249
747,316,2,FAM249
748,316,2,FAM249
749,316,2,FAM249
750,317,1,FAM250
750,318,2,FAM250
751,70,10,FAM48
752,318,2,FAM250
753,319,1,FAM251
753,320,2,FAM251
754,320,2,FAM251
755,243,8,FAM194
756,321,9,FAM252
757,321,9,FAM252
758,80,2,FAM56
759,322,2,FAM253
760,322,2,FAM253
761,322,2,FAM253
762,323,10,FAM254
763,323,10,FAM254
764,323,10,FAM254
765,324,9,FAM255
766,324,9,FAM255
767,324,9,FAM255
768,325,5,FAM256
769,325,5,FAM256
770,325,5,FAM256
771,326,7,FAM257
772,326,7,FAM257
773,326,7,FAM257
774,327,9,FAM258
775,327,9,FAM258
776,327,9,FAM258
777,124,8,FAM90
778,114,2,FAM81
779,248,2,FAM214
780,7,2,FAM0
781,116,1,FAM83
783,328,1,FAM261
783,329,2,FAM261
784,329,2,FAM261
785,329,2,FAM261
786,330,1,FAM262
786,331,2,FAM262
787,331,2,FAM262
788,331,2,FAM262
789,332,1,FAM263
791,332,1,FAM263
792,309,5,FAM264
847,333,1,FAM282
848,333,1,FAM282
849,334,5,FAM283
741,313,2,FAM247
747,316,2,FAM249
750,318,2,FAM250
753,320,2,FAM251
783,329,2,FAM261
786,331,2,FAM262
799,237,6,FAM188
800,311,7,FAM266
801,335,1,FAM267
801,336,2,FAM267
802,336,2,FAM267
803,336,2,FAM267
804,337,1,FAM268
804,338,2,FAM268
805,338,2,FAM268
806,338,2,FAM268
807,339,1,FAM269
807,340,2,FAM269
808,340,2,FAM269
809,266,1,FAM211
810,323,10,FAM254
811,341,1,FAM270
811,342,2,FAM270
812,342,2,FAM270
813,343,1,FAM271
814,343,1,FAM271
815,343,1,FAM271
816,344,9,FAM272
817,344,9,FAM272
818,344,9,FAM272
819,345,1,FAM273
820,345,1,FAM273
821,276,1,FAM220
822,346,10,FAM274
823,278,2,FAM221
824,1,1,FAM181
825,347,7,FAM275
826,347,7,FAM275
827,220,1,FAM175
828,267,10,FAM212
829,91,2,FAM63
830,97,1,FAM67
831,348,1,FAM277
831,349,2,FAM277
832,349,2,FAM277
833,349,2,FAM277
834,102,2,FAM71
835,350,1,FAM278
835,351,2,FAM278
836,351,2,FAM278
837,352,8,FAM279
838,352,8,FAM279
839,226,9,FAM179
840,296,8,FAM234
841,353,1,FAM280
842,353,1,FAM280
843,354,1,FAM281
843,355,2,FAM281
844,355,2,FAM281
845,355,2,FAM281
846,355,2,FAM281
899,356,6,FAM299
900,357,1,FAM300
900,358,2,FAM300
901,358,2,FAM300
902,358,2,FAM300
903,359,1,FAM301
904,359,1,FAM301
801,336,2,FAM267
804,338,2,FAM268
807,340,2,FAM269
811,342,2,FAM270
831,349,2,FAM277
835,351,2,FAM278
843,355,2,FAM281
850,334,5,FAM283
851,334,5,FAM283
852,360,1,FAM284
853,360,1,FAM284
854,360,1,FAM284
855,361,10,FAM285
856,361,10,FAM285
857,361,10,FAM285
858,362,10,FAM286
859,362,10,FAM286
860,362,10,FAM286
861,363,8,FAM287
862,363,8,FAM287
863,94,10,FAM65
864,114,2,FAM81
865,86,2,FAM60
866,364,9,FAM288
867,365,1,FAM289
867,366,2,FAM289
868,366,2,FAM289
869,366,2,FAM289
870,367,1,FAM290
870,368,2,FAM290
871,368,2,FAM290
872,31,1,FAM18
873,369,5,FAM291
874,369,5,FAM291
875,11,5,FAM3
876,370,7,FAM292
877,370,7,FAM292
878,370,7,FAM292
879,371,5,FAM293
880,371,5,FAM293
881,371,5,FAM293
882,313,2,FAM247
883,372,1,FAM294
883,373,2,FAM294
884,373,2,FAM294
885,19,9,FAM9
886,374,1,FAM295
886,375,2,FAM295
887,375,2,FAM295
888,376,1,FAM296
888,377,2,FAM296
889,377,2,FAM296
890,377,2,FAM296
891,378,1,FAM297
892,378,1,FAM297
893,378,1,FAM297
894,379,1,FAM298
894,380,2,FAM298
895,380,2,FAM298
896,380,2,FAM298
897,356,6,FAM299
898,356,6,FAM299
900,358,2,FAM300
955,381,1,FAM318
955,382,2,FAM318
957,383,1,FAM319
957,384,2,FAM319
958,384,2,FAM319
959,384,2,FAM319
960,385,1,FAM320
960,386,2,FAM320
867,366,2,FAM289
870,368,2,FAM290
883,373,2,FAM294
886,375,2,FAM295
888,377,2,FAM296
894,380,2,FAM298
905,359,1,FAM301
906,387,1,FAM302
906,388,2,FAM302
907,388,2,FAM302
908,388,2,FAM302
909,30,10,FAM17
910,10,2,FAM2
911,389,1,FAM303
912,390,5,FAM304
913,390,5,FAM304
914,390,5,FAM304
915,391,6,FAM305
916,391,6,FAM305
917,342,2,FAM270
918,325,5,FAM256
919,392,1,FAM306
919,393,2,FAM306
920,393,2,FAM306
921,394,9,FAM307
922,394,9,FAM307
923,214,5,FAM171
924,395,1,FAM308
924,396,2,FAM308
925,396,2,FAM308
926,396,2,FAM308
927,397,2,FAM309
928,397,2,FAM309
929,397,2,FAM309
930,398,1,FAM310
930,399,2,FAM310
931,399,2,FAM310
932,399,2,FAM310
933,400,1,FAM311
933,401,2,FAM311
934,366,2,FAM289
935,401,2,FAM311
936,402,1,FAM312
936,403,2,FAM312
938,403,2,FAM312
939,404,1,FAM313
939,405,2,FAM313
940,309,5,FAM264
941,405,2,FAM313
942,243,8,FAM194
943,406,1,FAM314
943,407,2,FAM314
944,407,2,FAM314
945,408,5,FAM315
947,408,5,FAM315
948,409,10,FAM316
949,409,10,FAM316
950,333,1,FAM282
951,410,1,FAM317
951,411,2,FAM317
952,411,2,FAM317
953,411,2,FAM317
954,382,2,FAM318
955,382,2,FAM318
957,384,2,FAM319
960,386,2,FAM320
1012,412,7,FAM337
1013,412,7,FAM337
1014,413,1,FAM338
1015,413,1,FAM338
1016,413,1,FAM338
1017,414,7,FAM339
1018,414,7,FAM339
906,388,2,FAM302
919,393,2,FAM306
924,396,2,FAM308
930,399,2,FAM310
933,401,2,FAM311
936,403,2,FAM312
939,405,2,FAM313
943,407,2,FAM314
951,411,2,FAM317
961,386,2,FAM320
962,386,2,FAM320
963,415,1,FAM321
963,416,2,FAM321
964,416,2,FAM321
965,416,2,FAM321
966,417,1,FAM322
967,407,2,FAM314
968,417,1,FAM322
969,418,2,FAM323
970,418,2,FAM323
971,418,2,FAM323
972,419,1,FAM324
972,420,2,FAM324
973,420,2,FAM324
974,420,2,FAM324
975,421,6,FAM325
976,421,6,FAM325
977,421,6,FAM325
978,422,8,FAM326
979,422,8,FAM326
980,422,8,FAM326
981,160,1,FAM116
982,423,1,FAM327
982,424,2,FAM327
983,424,2,FAM327
984,425,1,FAM328
985,425,1,FAM328
986,8,7,FAM1
987,41,1,FAM28
988,426,1,FAM329
989,299,2,FAM236
990,427,1,FAM330
991,427,1,FAM330
992,427,1,FAM330
993,428,10,FAM331
994,94,10,FAM65
995,428,10,FAM331
996,429,1,FAM332
996,430,2,FAM332
997,430,2,FAM332
998,430,2,FAM332
999,431,10,FAM333
1000,431,10,FAM333
1001,431,10,FAM333
1002,432,9,FAM334
1003,432,9,FAM334
1004,432,9,FAM334
1005,433,1,FAM335
1005,434,2,FAM335
1006,434,2,FAM335
1007,434,2,FAM335
1008,435,1,FAM336
1008,436,2,FAM336
1009,436,2,FAM336
1010,436,2,FAM336
1011,412,7,FAM337
