attendance_id,date,status
A_c171f4,2015-09-10,Present
A_99c532,2015-09-11,Present
A_22954d,2015-09-14,Present
A_35e22c,2015-09-15,Present
A_aea833,2015-09-16,Present
A_560564,2015-09-17,Present
A_4d4961,2015-09-18,Present
A_b227a4,2015-09-21,Present
A_a63050,2015-09-22,Present
A_861775,2015-09-23,Present
A_810b4e,2015-09-24,Present
A_94b8d0,2015-09-25,Tardy
A_e370c5,2015-09-28,Present
A_a1cc5b,2015-09-29,Present
A_c3b2a1,2015-09-30,Present
A_3cdfde,2015-10-01,Present
A_344871,2015-10-02,Present
A_3554e8,2015-10-05,Present
A_fc5f5e,2015-10-06,Present
A_582488,2015-10-07,Present
A_4c3b72,2015-10-08,Present
A_26e2ae,2015-10-12,Present
A_712ce3,2015-10-13,Present
A_a45643,2015-10-14,Present
A_85f2e8,2015-10-15,Present
A_5aaa59,2015-10-16,Present
A_d57202,2015-10-19,Present
A_959302,2015-10-20,Tardy
A_2bea4c,2015-10-21,Present
A_f6bc16,2015-10-22,Present
A_416a0b,2015-10-23,Present
A_5b1893,2015-10-26,Present
A_2b6a39,2015-10-27,Present
A_306023,2015-10-28,Absent
A_d7348b,2015-10-29,Present
A_3018f1,2015-10-30,Present
A_60938b,2015-11-02,Present
A_05ad59,2015-11-03,Present
A_66d6fd,2015-11-04,Present
A_be253a,2015-11-05,Present
A_fb9e65,2015-11-06,Present
A_e76525,2015-11-09,Present
A_f08092,2015-11-10,Absent
A_f7594d,2015-11-11,Present
A_7cf49f,2015-11-12,Present
A_c142f5,2015-11-13,Present
A_262f44,2015-11-16,Present
A_2b21ff,2015-11-17,Present
A_96df2f,2015-11-18,Present
A_6b4786,2015-11-19,Present
A_9ed6ea,2015-11-20,Present
A_e98e26,2015-11-23,Present
A_c4083b,2015-11-24,Present
A_694977,2015-11-25,Present
A_996651,2015-11-30,Present
A_70b7e0,2015-12-01,Present
A_36ef02,2015-12-02,Present
A_68d0ba,2015-12-03,Tardy
A_79d2ca,2015-12-04,Present
A_8a44ad,2015-12-07,Present
A_78c77b,2015-12-08,Present
A_dce683,2015-12-09,Present
A_66a6c3,2015-12-10,Present
A_5d56ef,2015-12-11,Present
A_2d888e,2015-12-14,Present
A_e6878c,2015-12-15,Present
A_58731b,2015-12-16,Present
A_fa3728,2015-12-17,Present
A_4ecdf2,2015-12-18,Present
A_6f813f,2016-01-05,Present
A_1b5ce0,2016-01-06,Present
A_c8eccc,2016-01-07,Present
A_a33534,2016-01-08,Present
A_f0cea8,2016-01-11,Present
A_2f3149,2016-01-12,Present
A_95c409,2016-01-13,Present
A_fb2bab,2016-01-14,Present
A_ce28f6,2016-01-15,Present
A_1a1225,2016-01-19,Present
A_b0f595,2016-01-20,Present
A_50defe,2016-01-21,Present
A_98faff,2016-01-22,Present
A_836169,2016-01-25,Present
A_27c1a7,2016-01-26,Present
A_4bb012,2016-01-27,Present
A_b0ae11,2016-01-28,Present
A_9e752f,2016-01-29,Present
A_be60ff,2016-02-01,Present
A_edc2f2,2016-02-02,Present
A_17ebe8,2016-02-03,Present
A_410802,2016-02-04,Present
A_b63d7f,2016-02-05,Present
A_19b2a4,2016-02-08,Present
A_875874,2016-02-09,Present
A_03329a,2016-02-10,Present
A_01f126,2016-02-11,Present
A_642e44,2016-02-12,Present
A_aafce6,2016-02-16,Present
A_00c656,2016-02-17,Present
A_05be49,2016-02-18,Present
A_a297a2,2016-02-19,Present
A_471e21,2016-02-22,Present
A_e8da4b,2016-02-23,Present
A_a045c8,2016-02-24,Present
A_878811,2016-02-25,Present
A_86adf7,2016-02-26,Present
A_db3453,2016-02-29,Present
A_3a1709,2016-03-01,Present
A_f73616,2016-03-02,Present
A_9be1e4,2016-03-03,Present
A_0425fa,2016-03-04,Present
A_f82ce4,2016-03-07,Present
A_7c6165,2016-03-08,Present
A_3b381d,2016-03-09,Present
A_c0596d,2016-03-10,Present
A_b6f4c5,2016-03-11,Present
A_33774f,2016-03-14,Present
A_719892,2016-03-15,Present
A_3dc65a,2016-03-16,Present
A_030146,2016-03-17,Present
A_5879b0,2016-03-18,Present
A_cad72d,2016-03-21,Present
A_0a9638,2016-03-22,Present
A_fbebb5,2016-03-23,Present
A_8b531c,2016-03-24,Present
A_99e905,2016-03-25,Present
A_883a55,2016-04-04,Present
A_7a6a91,2016-04-05,Present
A_af54f9,2016-04-06,Present
A_68bd44,2016-04-07,Present
A_c8cc88,2016-04-08,Present
A_f10dc7,2016-04-11,Present
A_e38b7c,2016-04-12,Present
A_d6395c,2016-04-13,Present
A_6bd375,2016-04-14,Present
A_e32cac,2016-04-15,Present
A_5a1a3f,2016-04-18,Present
A_4f567b,2016-04-19,Present
A_194b9f,2016-04-20,Present
A_864433,2016-04-21,Present
A_19c93b,2016-04-22,Present
A_16b0b6,2016-04-25,Present
A_79cba2,2016-04-26,Present
A_d59195,2016-04-27,Present
A_ec10c1,2016-04-28,Present
A_1f1e32,2016-04-29,Tardy
A_28db67,2016-05-02,Present
A_a56c76,2016-05-03,Present
A_190c66,2016-05-04,Present
A_8000a5,2016-05-05,Present
A_92f2a6,2016-05-06,Present
A_61d00d,2016-05-09,Present
A_2943b0,2016-05-10,Present
A_8b30d2,2016-05-11,Present
A_fc6650,2016-05-12,Present
A_f5298b,2016-05-13,Present
A_8d088e,2016-05-16,Present
A_c06c82,2016-05-17,Present
A_f3f0d5,2016-05-18,Present
A_2e8271,2016-05-19,Present
A_2dff5a,2016-05-20,Present
A_6c75eb,2016-05-23,Present
A_71777a,2016-05-24,Present
A_91c1a4,2016-05-25,Present
A_d94119,2016-05-26,Present
A_f5d347,2016-05-27,Present
A_5b4f66,2016-05-31,Present
A_51bb66,2016-06-01,Present
A_b74328,2016-06-02,Present
A_cbc21f,2016-06-03,Present
A_47320d,2016-06-06,Present
A_1b0d53,2016-06-07,Present
A_12f22d,2016-06-08,Present
A_02b49a,2016-06-09,Present
A_6ba00f,2015-08-24,Present
A_0e11cc,2015-08-25,Present
A_3e0c34,2015-08-26,Present
A_254b3e,2015-08-27,Present
A_fced95,2015-08-28,Present
A_3165fa,2015-08-31,Present
A_b35a95,2015-09-01,Present
A_05185b,2015-09-02,Present
A_7a5146,2015-09-03,Present
A_a952d0,2015-09-04,Present
A_426356,2015-09-08,Present
A_0398d4,2015-09-09,Present
A_bb6c04,2015-09-10,Present
A_ab32cd,2015-09-11,Present
A_4ff077,2015-09-14,Present
A_df30b3,2015-09-15,Present
A_252f5f,2015-09-16,Present
A_885ee9,2015-09-17,Absent
A_e1a777,2015-09-18,Present
A_5cdc07,2015-09-21,Present
A_a35e3b,2015-09-22,Present
A_bdf4a1,2015-09-23,Tardy
A_ed18ff,2015-09-24,Present
A_2c1df1,2015-09-25,Present
A_84777a,2015-09-28,Present
A_bd0ea4,2015-09-29,Absent
A_2c6a4d,2015-09-30,Present
A_01bf48,2015-10-01,Present
A_19004e,2015-10-02,Absent
A_60be8d,2015-10-05,Present
A_6fb72e,2015-10-06,Present
A_5e9f57,2015-10-07,Present
A_43a5e0,2015-10-08,Present
A_dec83b,2015-10-12,Tardy
A_f9184e,2015-10-13,Present
A_8dc5c7,2015-10-14,Present
A_46c082,2015-10-15,Present
A_f5d204,2015-10-16,Present
A_48b59f,2015-10-19,Present
A_83a83a,2015-10-20,Present
A_c9ec67,2015-10-21,Present
A_2d0359,2015-10-22,Present
A_382bff,2015-10-23,Present
A_670632,2015-10-26,Present
A_309179,2015-10-27,Absent
A_e7f622,2015-10-28,Present
A_b8c9ae,2015-10-29,Absent
A_3247f6,2015-10-30,Present
A_229aa2,2015-11-02,Present
A_0dc9eb,2015-11-03,Absent
A_6dbd07,2015-11-04,Absent
A_14de96,2015-11-05,Present
A_7abb77,2015-11-06,Present
A_8b2969,2015-11-09,Present
A_6a9710,2015-11-10,Present
A_b72085,2015-11-11,Present
A_df83f7,2015-11-12,Present
A_aaf347,2015-11-13,Present
A_a51407,2015-11-16,Present
A_c8d1b2,2015-11-17,Present
A_eb0c6b,2015-11-18,Present
A_5f966c,2015-11-19,Present
A_c50693,2015-11-20,Present
A_a080e7,2015-11-23,Present
A_46695d,2015-11-24,Present
A_ef15bb,2015-11-25,Present
A_30839b,2015-11-30,Present
A_8671e9,2015-12-01,Present
A_fed1e3,2015-12-02,Present
A_a81d6b,2015-12-03,Present
A_cd82a3,2015-12-04,Present
A_ab771e,2015-12-07,Present
A_2c6a13,2015-12-08,Present
A_ba883e,2015-12-09,Absent
A_bc778e,2015-12-10,Present
A_521c66,2015-12-11,Present
A_c76b22,2015-12-14,Present
A_dcae39,2015-12-15,Present
A_4b53dc,2015-12-16,Present
A_f3607e,2015-12-17,Present
A_ad1b55,2015-12-18,Present
A_26072e,2016-01-05,Present
A_422d7b,2016-01-06,Present
A_00876a,2016-01-07,Present
A_ed6478,2016-01-08,Present
A_2013a3,2016-01-11,Present
A_05efc8,2016-01-12,Present
A_8dfa90,2016-01-13,Present
A_f9b823,2016-01-14,Present
A_230b5d,2016-01-15,Present
A_725103,2016-01-19,Present
A_9f7669,2016-01-20,Present
A_5440f5,2016-01-21,Present
A_7ba99e,2016-01-22,Present
A_d401cc,2016-01-25,Present
A_fda2e6,2016-01-26,Present
A_c0f2d6,2016-01-27,Present
A_5fcace,2016-01-28,Present
A_91637a,2016-01-29,Present
A_6bfe76,2016-02-01,Absent
A_619cd6,2016-02-02,Present
A_2286cb,2016-02-03,Present
A_29ce44,2016-02-04,Present
A_03e8bf,2016-02-05,Present
A_1bf103,2016-02-08,Present
A_65b045,2016-02-09,Present
A_282523,2016-02-10,Present
A_80a2e6,2016-02-11,Present
A_6c79b4,2016-02-12,Present
A_a86630,2016-02-16,Present
A_81e829,2016-02-17,Present
A_a23fb0,2016-02-18,Present
A_0b0308,2016-02-19,Present
A_b6d2f2,2016-02-22,Present
A_2d6b3a,2016-02-23,Present
A_1a1ff7,2016-02-24,Present
A_7c7870,2016-02-25,Absent
A_d040ea,2016-02-26,Present
A_c6a17b,2016-02-29,Present
A_bacfe9,2016-03-01,Absent
A_01c138,2016-03-02,Present
A_163fac,2016-03-03,Present
A_7846d9,2016-03-04,Present
A_ebde38,2016-03-07,Present
A_c0cd68,2016-03-08,Present
A_63f22e,2016-03-09,Absent
A_a6a186,2016-03-10,Tardy
A_e2572e,2016-03-11,Absent
A_f19066,2016-03-14,Present
A_e679bf,2016-03-15,Present
A_7dd576,2016-03-16,Present
A_af428e,2016-03-17,Present
A_167dc2,2016-03-18,Present
A_fd0709,2016-03-21,Present
A_bb2bf4,2016-03-22,Absent
A_16e5b8,2016-03-23,Present
A_c4445c,2016-03-24,Present
A_05667f,2016-03-25,Present
A_fbe6fd,2016-04-04,Present
A_780aab,2016-04-05,Absent
A_432a95,2016-04-06,Tardy
A_14d382,2016-04-07,Tardy
A_72be2d,2016-04-08,Present
A_ae9dc1,2016-04-11,Present
A_936f5a,2016-04-12,Present
A_603f0b,2016-04-13,Present
A_1bd6a3,2016-04-14,Present
A_0b98cc,2016-04-15,Present
A_cbe46d,2016-04-18,Present
A_9f44c7,2016-04-19,Present
A_2c0e1f,2016-04-20,Present
A_5b266b,2016-04-21,Present
A_2cead8,2016-04-22,Present
A_7a0e99,2016-04-25,Tardy
A_156871,2016-04-26,Present
A_2548ee,2016-04-27,Present
A_853776,2016-04-28,Absent
A_cb9a21,2016-04-29,Present
A_173107,2016-05-02,Tardy
A_f9ad24,2016-05-03,Absent
A_c8acd8,2016-05-04,Present
A_46f675,2016-05-05,Present
A_666884,2016-05-06,Present
A_d36a1f,2016-05-09,Present
A_f71f4a,2016-05-10,Present
A_49f4a5,2016-05-11,Present
A_874f23,2016-05-12,Present
A_140f77,2016-05-13,Present
A_d800b9,2016-05-16,Present
A_a137b5,2016-05-17,Present
A_39f09b,2016-05-18,Present
A_a8f270,2016-05-19,Present
A_8a5b2e,2016-05-20,Present
A_34aba2,2016-05-23,Present
A_3f5d4f,2016-05-24,Present
A_cc4885,2016-05-25,Present
A_0f1638,2016-05-26,Present
A_9d9ce4,2016-05-27,Present
A_3ac587,2016-05-31,Present
A_89f0b7,2016-06-01,Present
A_28b3bc,2016-06-02,Present
A_177977,2016-06-03,Present
A_6ed8d7,2016-06-06,Present
A_6b4d9d,2016-06-07,Present
A_1cc939,2016-06-08,Present
A_4496ef,2016-06-09,Present
A_5263dd,2015-08-24,Present
A_7aeadd,2015-08-25,Present
A_f942ba,2015-08-26,Present
A_33e29b,2015-08-27,Present
A_f279c4,2015-08-28,Absent
A_b4416d,2015-08-31,Present
A_108bf3,2015-09-01,Present
A_109dac,2015-09-02,Present
A_03ec3a,2015-09-03,Present
A_92a4c0,2015-09-04,Absent
A_ae54bd,2015-09-08,Present
A_f9a54c,2015-09-09,Present
A_e6c57c,2015-09-10,Present
A_7d37fd,2015-09-11,Present
A_fdac68,2015-09-14,Present
A_05712a,2015-09-15,Absent
A_5cf974,2015-09-16,Present
A_7150e9,2015-09-17,Absent
A_6ec81c,2015-09-18,Present
A_b12938,2015-09-21,Present
A_9b5faa,2015-09-22,Present
A_9f3212,2015-09-23,Present
A_5034c3,2015-09-24,Present
A_e7a9eb,2015-09-25,Present
A_d7e29f,2015-09-28,Present
A_e592db,2015-09-29,Present
A_c2fc9f,2015-09-30,Present
A_c56fba,2015-10-01,Present
A_898ee0,2015-10-02,Present
A_81fe6e,2015-10-05,Present
A_52332f,2015-10-06,Present
A_18591e,2015-10-07,Present
A_f26bff,2015-10-08,Present
A_afe573,2015-10-12,Absent
A_103c90,2015-10-13,Present
A_1d1518,2015-10-14,Present
A_3f6b45,2015-10-15,Absent
A_248cfe,2015-10-16,Present
A_3d00e0,2015-10-19,Present
A_f2a298,2015-10-20,Present
A_b3d1bc,2015-10-21,Present
A_1fff6d,2015-10-22,Present
A_9beb90,2015-10-23,Present
A_7509dd,2015-10-26,Present
A_f872f6,2015-10-27,Present
A_0b4898,2015-10-28,Present
A_56dd19,2015-10-29,Present
A_18dfc2,2015-10-30,Absent
A_40dd48,2015-11-02,Present
A_5c8208,2015-11-03,Present
A_5fbc44,2015-11-04,Present
A_834f3f,2015-11-05,Present
A_bbfe4c,2015-11-06,Present
A_fdcabe,2015-11-09,Present
A_88c0a9,2015-11-10,Present
A_12a7c0,2015-11-11,Present
A_5c9b38,2015-11-12,Present
A_98a9fe,2015-11-13,Present
A_1f1445,2015-11-16,Present
A_a1e037,2015-11-17,Present
A_ac4540,2015-11-18,Present
A_cd4c40,2015-11-19,Present
A_a6fbd7,2015-11-20,Present
A_c6d156,2015-11-23,Present
A_2a1510,2015-11-24,Absent
A_432723,2015-11-25,Present
A_cd6610,2015-11-30,Present
A_9a6c00,2015-12-01,Present
A_ac44a8,2015-12-02,Present
A_20b369,2015-12-03,Present
A_42db93,2015-12-04,Present
A_58b67a,2015-12-07,Present
A_18a7ea,2015-12-08,Present
A_bdddec,2015-12-09,Present
A_a253c0,2015-12-10,Present
A_8a5603,2015-12-11,Present
A_70c005,2015-12-14,Present
A_f22eb6,2015-12-15,Tardy
A_529b35,2015-12-16,Present
A_ddd33a,2015-12-17,Present
A_efaa45,2015-12-18,Present
A_b96042,2016-01-05,Tardy
A_4aea89,2016-01-06,Present
A_c02647,2016-01-07,Present
A_1ed032,2016-01-08,Present
A_e4284d,2016-01-11,Present
A_8d0f98,2016-01-12,Absent
A_675c1d,2016-01-13,Present
A_3356a4,2016-01-14,Tardy
A_d1708d,2016-01-15,Absent
A_4890ab,2016-01-19,Present
A_998297,2016-01-20,Present
A_3f69b8,2016-01-21,Present
A_abb3c7,2016-01-22,Present
A_04bc04,2016-01-25,Present
A_95ac07,2016-01-26,Tardy
A_f675ed,2016-01-27,Present
A_c336d1,2016-01-28,Present
A_c216ea,2016-01-29,Present
A_8cbdb1,2016-02-01,Absent
A_05a8da,2016-02-02,Tardy
A_3a5fb8,2016-02-03,Present
A_61f438,2016-02-04,Present
A_f670b3,2016-02-05,Absent
A_b704d4,2016-02-08,Present
A_c133a0,2016-02-09,Present
A_ad7c0e,2016-02-10,Present
A_bf0260,2016-02-11,Present
A_5aa376,2016-02-12,Present
A_ca1923,2016-02-16,Present
A_a7da8b,2016-02-17,Present
A_f520f9,2016-02-18,Present
A_084594,2016-02-19,Present
A_906ba3,2016-02-22,Present
A_d07022,2016-02-23,Present
A_fce4e9,2016-02-24,Present
A_0b9ab4,2016-02-25,Present
A_95521f,2016-02-26,Present
A_c81478,2016-02-29,Present
A_d2c965,2016-03-01,Present
A_c8ce23,2016-03-02,Present
A_642815,2016-03-03,Absent
A_6326c9,2016-03-04,Absent
A_837226,2016-03-07,Present
A_fbb053,2016-03-08,Present
A_6aa204,2016-03-09,Present
A_92ad6a,2016-03-10,Absent
A_f3d127,2016-03-11,Present
A_fc7e72,2016-03-14,Present
A_e401bb,2016-03-15,Present
A_ef548e,2016-03-16,Present
A_660f9a,2016-03-17,Present
A_cd2383,2016-03-18,Present
A_abd52e,2016-03-21,Present
A_eba2c3,2016-03-22,Present
A_a898c8,2016-03-23,Present
A_ccbc43,2016-03-24,Present
A_57241c,2016-03-25,Absent
A_8f1ebc,2016-04-04,Tardy
A_2416f1,2016-04-05,Present
A_0cf843,2016-04-06,Present
A_3a3b63,2016-04-07,Present
A_242aa1,2016-04-08,Present
A_e0d29d,2016-04-11,Present
A_9ca21b,2016-04-12,Present
A_c6896d,2016-04-13,Present
A_66b501,2016-04-14,Present
A_4328eb,2016-04-15,Absent
A_1367d8,2016-04-18,Present
A_31ff38,2016-04-19,Present
A_a6eb71,2016-04-20,Present
A_1231f1,2016-04-21,Present
A_7012e8,2016-04-22,Present
A_f9e0e4,2016-04-25,Present
A_4857ef,2016-04-26,Absent
A_f6d1f8,2016-04-27,Present
A_cecb2c,2016-04-28,Tardy
A_5b74c6,2016-04-29,Present
A_700885,2016-05-02,Present
A_712702,2016-05-03,Present
A_97868a,2016-05-04,Absent
A_eeb6d6,2016-05-05,Present
A_986e7e,2016-05-06,Absent
A_817bd2,2016-05-09,Present
A_0a5a5d,2016-05-10,Present
A_38e3b6,2016-05-11,Present
A_a6a97b,2016-05-12,Present
A_57a856,2016-05-13,Absent
A_fa2a09,2016-05-16,Present
A_e31d43,2016-05-17,Present
A_514fc2,2016-05-18,Absent
A_5e4d81,2016-05-19,Present
A_8c07a5,2016-05-20,Present
A_b63036,2016-05-23,Present
A_309ee4,2016-05-24,Present
A_5cd4bf,2016-05-25,Present
A_2fe003,2016-05-26,Absent
A_758f93,2016-05-27,Present
A_04f5d9,2016-05-31,Present
A_555c4e,2016-06-01,Present
A_a6aef9,2016-06-02,Present
A_c046c5,2016-06-03,Present
A_a8063a,2016-06-06,Present
A_f05cbb,2016-06-07,Present
A_7e8651,2016-06-08,Absent
A_935017,2016-06-09,Present
A_d83fd0,2015-08-24,Present
A_00c9b3,2015-08-25,Present
A_481a46,2015-08-26,Present
A_7fec0b,2015-08-27,Present
A_c58f53,2015-08-28,Present
A_28f9d2,2015-08-31,Present
A_0f28ec,2015-09-01,Present
A_3f18f6,2015-09-02,Present
A_45e4ed,2015-09-03,Present
A_063587,2015-09-04,Present
A_66713e,2015-09-08,Present
A_5da970,2015-09-09,Present
A_239e22,2015-09-10,Present
A_5448b1,2015-09-11,Present
A_59731e,2015-09-14,Present
A_b7440b,2015-09-15,Present
A_079aa2,2015-09-16,Present
A_f92c14,2015-09-17,Present
A_d216c8,2015-09-18,Present
A_27629e,2015-09-21,Absent
A_145478,2015-09-22,Present
A_b44fb2,2015-09-23,Present
A_9bef73,2015-09-24,Present
A_892fef,2015-09-25,Present
A_681d30,2015-09-28,Present
A_a91a0e,2015-09-29,Present
A_d5f7ce,2015-09-30,Present
A_8f9835,2015-10-01,Present
A_69f828,2015-10-02,Present
A_b40b92,2015-10-05,Present
A_5103db,2015-10-06,Present
A_b56afe,2015-10-07,Present
A_a3123b,2015-10-08,Present
A_5b6737,2015-10-12,Present
A_749e73,2015-10-13,Present
A_674fc4,2015-10-14,Present
A_90322a,2015-10-15,Present
A_6a8dce,2015-10-16,Present
A_d04f29,2015-10-19,Present
A_f385b7,2015-10-20,Present
A_34980b,2015-10-21,Present
A_469612,2015-10-22,Present
A_6cfb99,2015-10-23,Tardy
A_200cf4,2015-10-26,Present
A_685263,2015-10-27,Present
A_0b55d1,2015-10-28,Present
A_9b861f,2015-10-29,Present
A_c5f4dd,2015-10-30,Absent
A_5565bf,2015-11-02,Present
A_00e5c7,2015-11-03,Present
A_f90870,2015-11-04,Present
A_5ad741,2015-11-05,Absent
A_76f999,2015-11-06,Present
A_0d1579,2015-11-09,Present
A_d35d7d,2015-11-10,Present
A_d39a4e,2015-11-11,Present
A_41ba58,2015-11-12,Absent
A_e97229,2015-11-13,Tardy
A_e0c240,2015-11-16,Present
A_b3d8ba,2015-11-17,Present
A_000119,2015-11-18,Present
A_269846,2015-11-19,Present
A_5b2c6b,2015-11-20,Present
A_83f46e,2015-11-23,Present
A_42f788,2015-11-24,Present
A_f4f005,2015-11-25,Absent
